 Water vapor coverage table for the EARLI Lidar (2010-2016) 
 Date   Valid data 
100401    0
100402    0
100403    0
100404    0
100405    0
100406    0
100407    1
100408    1
100409    1
100410    1
100411    1
100412    1
100413    1
100414    1
100415    1
100416    1
100417    1
100418    1
100419    1
100420    0
100421    0
100422    0
100423    0
100424    0
100425    0
100426    1
100427    1
100428    1
100429    1
100430    1
100501    1
100502    1
100503    1
100504    1
100505    1
100506    1
100507    1
100508    1
100509    1
100510    1
100511    1
100512    1
100513    1
100514    1
100515    1
100516    1
100517    1
100518    1
100519    1
100520    1
100521    1
100522    1
100523    1
100524    1
100525    1
100526    1
100527    1
100528    1
100529    1
100530    1
100531    1
100601    1
100602    1
100603    0
100604    1
100605    0
100606    0
100607    0
100608    1
100609    1
100610    0
100611    0
100612    0
100613    0
100614    0
100615    0
100616    0
100617    0
100618    0
100619    0
100620    0
100621    0
100622    1
100623    1
100624    1
100625    1
100626    1
100627    1
100628    1
100629    1
100630    1
100701    1
100702    1
100703    1
100704    1
100705    0
100706    1
100707    1
100708    1
100709    1
100710    1
100711    1
100712    1
100713    0
100714    1
100715    1
100716    1
100717    1
100718    1
100719    1
100720    1
100721    1
100722    1
100723    1
100724    1
100725    1
100726    1
100727    1
100728    1
100729    1
100730    1
100731    1
100801    1
100802    1
100803    1
100804    1
100805    1
100806    1
100807    0
100808    0
100809    1
100810    1
100811    1
100812    1
100813    1
100814    1
100815    1
100816    1
100817    1
100818    1
100819    1
100820    1
100821    1
100822    1
100823    1
100824    1
100825    1
100826    1
100827    1
100828    1
100829    1
100830    1
100831    1
100901    1
100902    1
100903    1
100904    1
100905    1
100906    1
100907    1
100908    1
100909    1
100910    1
100911    1
100912    1
100913    1
100914    1
100915    1
100916    1
100917    1
100918    1
100919    1
100920    0
100921    1
100922    1
100923    1
100924    1
100925    1
100926    1
100927    1
100928    1
100929    1
100930    1
101001    1
101002    1
101003    1
101004    1
101005    1
101006    1
101007    1
101008    1
101009    1
101010    1
101011    1
101012    1
101013    1
101014    1
101015    1
101016    1
101017    1
101018    1
101019    1
101020    1
101021    1
101022    1
101023    1
101024    1
101025    1
101026    1
101027    1
101028    1
101029    1
101030    0
101031    0
101101    0
101102    0
101103    0
101104    0
101105    1
101106    1
101107    1
101108    1
101109    1
101110    1
101111    1
101112    1
101113    1
101114    1
101115    1
101116    1
101117    1
101118    1
101119    1
101120    1
101121    1
101122    1
101123    1
101124    1
101125    1
101126    1
