 Water vapor coverage table for the LICHT Lidar (2016-) 
 Date   Valid data 
160701    0
160702    0
160703    0
160704    0
160705    0
160706    0
160707    0
160708    0
160709    0
160710    0
160711    0
160712    0
160713    0
160714    0
160715    0
160716    0
160717    0
160718    0
160719    0
160720    0
160721    0
160722    0
160723    0
160724    0
160725    0
160726    1
160727    1
160728    1
160729    1
160730    1
160731    1
160801    1
160802    1
160803    1
160804    1
160805    1
160806    1
160807    1
160808    1
160809    1
160810    1
160811    1
160812    1
160813    1
160814    1
160815    1
160816    1
160817    1
160818    1
160819    1
160820    1
160821    1
160822    1
160823    1
160824    1
160825    1
160826    1
160827    1
160828    1
160829    1
160830    1
160831    1
160901    1
160902    1
160903    1
160904    1
160905    1
160906    1
160907    1
160908    1
160909    1
160910    1
160911    1
160912    1
160913    1
160914    1
160915    1
160916    0
160917    0
160918    0
160919    0
160920    0
160921    0
160922    0
160923    0
160924    0
160925    0
160926    0
160927    0
160928    0
160929    0
160930    0
161001    0
161002    0
161003    0
161004    1
161005    1
161006    1
161007    1
161008    1
161009    1
161010    1
161011    1
161012    1
161013    1
161014    1
161015    1
161016    1
161017    1
161018    1
161019    1
161020    1
161021    1
161022    0
161023    0
161024    0
161025    0
161026    0
161027    0
161028    0
161029    0
161030    0
161031    0
161101    0
161102    1
161103    1
161104    1
161105    1
161106    1
161107    1
161108    1
161109    0
161110    1
161111    1
161112    1
161113    1
161114    1
161115    1
161116    1
161117    1
161118    1
161119    1
161120    0
161121    0
161122    0
161123    1
161124    1
161125    1
161126    1
161127    1
161128    1
161129    1
161130    0
161201    0
161202    0
161203    0
161204    0
161205    0
161206    0
161207    1
161208    1
161209    1
161210    1
161211    1
161212    1
161213    1
161214    1
161215    1
161216    1
161217    1
161218    1
161219    1
161220    1
161221    1
161222    1
161223    1
161224    1
161225    1
161226    1
161227    1
161228    1
161229    1
161230    1
161231    1
170101    1
170102    1
170103    1
170104    0
170105    0
170106    0
170107    0
170108    0
170109    0
170110    0
170111    1
170112    0
170113    0
170114    0
170115    0
170116    0
170117    0
170118    0
170119    0
170120    0
170121    0
170122    0
170123    0
170124    0
170125    1
170126    1
170127    1
170128    1
170129    1
170130    1
170131    1
170201    1
170202    1
170203    1
170204    1
170205    1
170206    1
170207    1
170208    1
170209    1
170210    1
170211    1
170212    1
170213    1
170214    1
170215    1
170216    1
170217    0
170218    0
170219    0
170220    0
170221    0
170222    0
170223    0
170224    1
170225    1
170226    1
170227    1
170228    1
170301    1
170302    1
170303    1
170304    0
170305    0
170306    0
170307    0
170308    1
170309    1
170310    1
170311    1
170312    1
170313    1
170314    1
170315    1
170316    1
170317    0
170318    0
170319    0
170320    0
170321    0
170322    0
170323    0
170324    0
170325    0
170326    0
170327    0
170328    0
170329    1
170330    1
170331    1
170401    1
170402    1
170403    1
170404    1
170405    1
170406    1
170407    1
170408    1
170409    1
170410    1
170411    1
170412    1
170413    1
170414    1
170415    1
170416    1
170417    1
170418    1
170419    1
170420    1
170421    0
170422    1
170423    1
170424    1
170425    0
170426    0
170427    1
170428    1
170429    1
170430    1
170501    1
170502    1
170503    1
170504    1
170505    1
170506    1
170507    1
170508    1
170509    1
170510    1
170511    1
170512    1
170513    1
170514    1
170515    1
170516    1
170517    1
170518    1
170519    1
170520    1
170521    1
170522    1
170523    1
170524    1
170525    1
170526    1
170527    1
170528    1
170529    1
170530    1
170531    1
170601    1
170602    1
170603    1
170604    1
170605    1
170606    1
170607    1
170608    0
170609    0
170610    1
170611    1
170612    1
170613    1
170614    1
170615    1
170616    1
170617    1
170618    1
170619    1
170620    1
170621    1
170622    1
170623    1
170624    1
170625    0
170626    0
170627    1
170628    1
170629    1
170630    1
170701    1
170702    1
170703    1
170704    1
170705    1
170706    1
170707    1
170708    1
170709    1
170710    1
170711    1
170712    1
170713    0
170714    1
170715    1
170716    1
170717    1
170718    1
170719    1
170720    1
170721    1
170722    1
170723    1
170724    1
170725    1
170726    1
170727    1
170728    1
170729    1
170730    1
170731    1
170801    1
170802    1
170803    0
170804    1
170805    1
170806    1
170807    1
170808    1
170809    0
170810    1
170811    1
170812    1
170813    1
170814    1
170815    1
170816    1
170817    1
170818    1
170819    1
170820    1
170821    1
170822    1
170823    1
170824    1
170825    1
170826    1
170827    1
170828    1
170829    1
170830    1
170831    1
170901    1
170902    1
170903    1
